station_name,stats,p_value,crit1,stationary
Allende-Platz/Grindelhof,-27.85513715289231,0.0,-3.4305718333664075,True
Alsenstraße/Düppelstraße,-30.459572031928936,0.0,-3.4305718183168747,True
Alsterdorf Markt/Evangelische Stiftung,-24.486233088812092,0.0,-3.4305718333664075,True
Alsterdorfer Straße/Fuhlsbüttler Straße,-23.208350373718986,0.0,-3.4305718333664075,True
Alsterschwimmhalle/Ifflandstraße,-27.509932253228857,0.0,-3.430571825841386,True
Alter Postweg / Heimfelder Straße,-24.371093456985687,0.0,-3.4305718333664075,True
Alter Wall/Adolphsbrücke,-26.945167959012565,0.0,-3.4305718333664075,True
Am Kaiserkai/Großer Grasbrook,-25.79961899669456,0.0,-3.4305718183168747,True
Amsinckstraße/ Nordkanalbrücke,-25.93028829350357,0.0,-3.430571825841386,True
Auf dem Sande/Kehrwieder-MiniaturWunderland,-25.504988276860807,0.0,-3.430571825841386,True
Axel-Springer-Platz/Wexstraße,-29.636858402660145,0.0,-3.430571825841386,True
Bahnhof Altona Ost/Max-Brauer-Allee,-24.229297426574544,0.0,-3.430571825841386,True
Bahnhof Altona West / Busbahnhof,-20.109301350872187,0.0,-3.4305718333664075,True
Bahnhof Bergedorf/Johann-Meyer-Straße,-24.1303583011966,0.0,-3.4305718333664075,True
Bahnhof Dammtor Nord // Theodor-Heuss-Platz,-25.290430207301398,0.0,-3.4305718333664075,True
Bahnhof Dammtor Süd / Marseiller Straße,-23.866957839672786,0.0,-3.430571825841386,True
Bahrenfelder Chaussee/Von-Sauer-Straße,-28.07824713662908,0.0,-3.4305718333664075,True
Bahrenfelder Straße/Völckersstraße,-29.584345274948028,0.0,-3.4305718333664075,True
Barkassenanleger/Mengestraße,-24.473121363518985,0.0,-3.4305718183168747,True
Bartholomäusstraße/Beim Alten Schützenhof,-29.811077985138944,0.0,-3.4305718333664075,True
Bebelallee/Meenkwiese,-25.761506433451487,0.0,-3.4305718183168747,True
Bei der Hammer Kirche/Hammerpark,-20.748115074435876,0.0,-3.4305718183168747,True
Berliner Tor / Berlinertordamm,-23.84247289236493,0.0,-3.4305718183168747,True
Bernhard-Nocht-Straße/Zirkusweg,-29.0502367032408,0.0,-3.4305718333664075,True
Berta-Kröger-Platz/Wilhelm-Strauß-Weg,-26.099832209676364,0.0,-3.4305718183168747,True
Billstedter Platz/Öjendorfer Weg,-21.901682429381918,0.0,-3.4305718333664075,True
Billstraße/Billhorner Deich,-26.89060494784944,0.0,-3.4305718333664075,True
Bleickenallee/Kinderkrankenhaus Altona,-27.60896587298473,0.0,-3.4305718183168747,True
Bogenstraße / Grindelallee,-28.802496992906566,0.0,-3.4305718183168747,True
Borgweg/Stadtpark,-25.875871539008088,0.0,-3.430571825841386,True
Bullerdeich/Stadtreinigung Hamburg,-29.192410369306895,0.0,-3.4305718333664075,True
Burgstraße/Hammer Landstraße,-24.06553425486571,0.0,-3.4305718183168747,True
Caffamacherreihe/Valentinskamp.,-28.29872392022213,0.0,-3.4305718333664075,True
Caspar-Voght-Straße/Sievekingsallee,-27.760950102550364,0.0,-3.4305718333664075,True
Charlie-Mills-Straße/Friedrich-Ebert-Damm,-25.401350730571092,0.0,-3.430571810792874,True
Chemnitzstraße / Max-Brauer-Allee,-28.43820170693708,0.0,-3.4305718183168747,True
Christuskirche/Fruchtallee,-28.30564633942163,0.0,-3.430571825841386,True
DESY/Notkestraße,-29.736285025649977,0.0,-3.4305718333664075,True
Dehnhaide/Barmbeker Markt,-26.647676182907045,0.0,-3.4305718333664075,True
Djarkartaweg/Sengelmannstraße,-22.36202938798189,0.0,-3.4305718333664075,True
Domstraße/Willy-Brandt-Straße,-29.025711779181727,0.0,-3.4305718333664075,True
Dürerstraße/Beslerplatz- S Bahn Othmarschen,-28.46790707986684,0.0,-3.4305718333664075,True
Eduard-Rhein-Ufer / Schwanenwik,-29.435440208853322,0.0,-3.430571810792874,True
Eiffestrasse/Normannenweg,-30.158092758417517,0.0,-3.430571825841386,True
Eimsbütteler Straße/Waterloostraße,-30.944789462516006,0.0,-3.430571810792874,True
Eißendorfer Pferdeweg/ Asklepios-Klinik Harburg,-24.012092602532014,0.0,-3.4305718333664075,True
Elbchaussee/Teufelsbrück,-25.641170036379947,0.0,-3.430571825841386,True
Emil-Andresen-Straße / Lohkoppelweg,-26.468938964400575,0.0,-3.4305718333664075,True
