station_name,stats,p_value,crit1,stationary
Allende-Platz/Grindelhof,-10.787571035480797,2.174408819662141e-19,-3.4305718333664075,True
Alsenstraße/Düppelstraße,-10.636038453647416,5.069524290948252e-19,-3.4305718333664075,True
Alsterdorf Markt/Evangelische Stiftung,-9.830183408807203,5.06161833269168e-17,-3.4305718333664075,True
Alsterdorfer Straße/Fuhlsbüttler Straße,-7.000308346564048,7.351053586143581e-10,-3.4305718333664075,True
Alsterschwimmhalle/Ifflandstraße,-14.96440061973394,1.2260768104709149e-27,-3.4305718183168747,True
Alter Postweg / Heimfelder Straße,-8.599385632028325,6.9352845390056e-14,-3.4305718333664075,True
Alter Wall/Adolphsbrücke,-15.193088042656802,5.972517083395708e-28,-3.4305718333664075,True
Am Kaiserkai/Großer Grasbrook,-18.015236256430445,2.7063727280856394e-30,-3.4305718333664075,True
Amsinckstraße/ Nordkanalbrücke,-15.056065847973748,9.146422232304053e-28,-3.4305718333664075,True
Auf dem Sande/Kehrwieder-MiniaturWunderland,-12.7404845444183,8.967150709655382e-24,-3.430571825841386,True
Axel-Springer-Platz/Wexstraße,-17.6255591000365,3.8202397162448836e-30,-3.4305718333664075,True
Bahnhof Altona Ost/Max-Brauer-Allee,-10.8518907493945,1.5213960064476612e-19,-3.4305718183168747,True
Bahnhof Altona West / Busbahnhof,-12.768244120973087,7.872232701781069e-24,-3.430571825841386,True
Bahnhof Bergedorf/Johann-Meyer-Straße,-6.877969806773089,1.457996596655664e-09,-3.430571825841386,True
Bahnhof Dammtor Nord // Theodor-Heuss-Platz,-8.976170861515511,7.521775761899624e-15,-3.430571825841386,True
Bahnhof Dammtor Süd / Marseiller Straße,-13.875164010350698,6.358238626286375e-26,-3.4305718333664075,True
Bahrenfelder Chaussee/Von-Sauer-Straße,-4.617271754591558,0.00012002518571294104,-3.4305718333664075,True
Bahrenfelder Straße/Völckersstraße,-13.846359732791482,7.137391256994622e-26,-3.4305718333664075,True
Barkassenanleger/Mengestraße,-11.962736161694412,4.066394557616824e-22,-3.4305718333664075,True
Bartholomäusstraße/Beim Alten Schützenhof,-12.569081681316705,2.0228003279830062e-23,-3.4305718333664075,True
