station_name,stats,p_value,crit1,stationary
Allende-Platz/Grindelhof,-27.885371991949935,0.0,-3.4305718333664075,True
Alsenstraße/Düppelstraße,-30.26724664250941,0.0,-3.4305718183168747,True
Alsterdorf Markt/Evangelische Stiftung,-24.18558757857588,0.0,-3.4305718333664075,True
Alsterdorfer Straße/Fuhlsbüttler Straße,-23.553289500258472,0.0,-3.430571825841386,True
Alsterschwimmhalle/Ifflandstraße,-27.41852005642837,0.0,-3.430571825841386,True
Alter Postweg / Heimfelder Straße,-24.479409446296618,0.0,-3.4305718333664075,True
Alter Wall/Adolphsbrücke,-26.854308277713642,0.0,-3.4305718333664075,True
Am Kaiserkai/Großer Grasbrook,-25.829321247678607,0.0,-3.4305718183168747,True
Amsinckstraße/ Nordkanalbrücke,-25.832210194643768,0.0,-3.430571825841386,True
Auf dem Sande/Kehrwieder-MiniaturWunderland,-25.484823244717123,0.0,-3.430571825841386,True
Axel-Springer-Platz/Wexstraße,-29.293699660178696,0.0,-3.430571825841386,True
Bahnhof Altona Ost/Max-Brauer-Allee,-24.226166545437415,0.0,-3.430571825841386,True
Bahnhof Altona West / Busbahnhof,-20.365651792913166,0.0,-3.4305718333664075,True
Bahnhof Bergedorf/Johann-Meyer-Straße,-24.166437944784814,0.0,-3.4305718333664075,True
Bahnhof Dammtor Nord // Theodor-Heuss-Platz,-25.06817695803452,0.0,-3.4305718333664075,True
Bahnhof Dammtor Süd / Marseiller Straße,-23.853091735333575,0.0,-3.430571825841386,True
Bahrenfelder Chaussee/Von-Sauer-Straße,-26.62926294742822,0.0,-3.4305718333664075,True
Bahrenfelder Straße/Völckersstraße,-29.695001331385246,0.0,-3.4305718333664075,True
Barkassenanleger/Mengestraße,-24.596050538763247,0.0,-3.4305718183168747,True
Bartholomäusstraße/Beim Alten Schützenhof,-29.729953896169057,0.0,-3.4305718333664075,True
Bebelallee/Meenkwiese,-25.678323576803592,0.0,-3.4305718183168747,True
Bei der Hammer Kirche/Hammerpark,-20.656262864372614,0.0,-3.4305718183168747,True
